Text,Sentiment,Emotions,translated_text,Justification
हा जो शिवसेनेच्या विरोधात खेळ खेळत आहात याचा परिणाम भोगावे लागणार आहेत,-1,Anger,The game you are playing against Shiv Sena will have consequences.,"The phrase ""परिणाम भोगावे लागणार आहेत"" (will face consequences) is a warning, indicating anger."
खरच हा पक्षच धर्मद्रोही आहे .,-1,Disgust,This party is truly anti-religious.,"The term ""धर्मद्रोही"" (anti-religious) has a strong negative connotation, showing disgust."
या चोंग्याला बाळासाहेब आणि त्यांचे नेमके विचार माहित आहेत का ??,-1,Anger,Does this idiot even know Balasaheb’s exact thoughts?,"The word ""चोंग्या"" (idiot) is an insult, and the questioning tone conveys anger."
"“सहानुभूती, डोळ्यात पाणी,” राज ठाकरेंची उद्धव ठाकरेंवर जोरदार टीका; म्हणाले “कोणतीही लाट…”",-1,Disgust,"""Sympathy, tears in the eyes,"" Raj Thackeray strongly criticizes Uddhav Thackeray; he said, ""Any wave...""","The phrase ""जोरदार टीका"" (strong criticism) implies disapproval, falling under disgust."
हारफीकनी ते गटार तोंड स्वच्छ नाही होणार.,-1,Disgust,"No matter how much you clean, that gutter mouth won't be clean.","The phrase ""गटार तोंड"" (gutter mouth) is highly negative, expressing disgust."
"नामर्द बोलतो आहेस, स्वतः कडे बोट आहेत ते बघा",-1,Disgust,"You are speaking like a coward, look at yourself first.","The word ""नामर्द"" (coward) is an insult, making this disgust-driven."
फैजाबाद ही निर्लज्ज पणाचा कळस आहे... असुरी प्रवृत्ती आहे ती,-1,Disgust,Faizabad is the peak of shamelessness… It is a demonic tendency.,"The words ""निर्लज्ज पणाचा कळस"" (peak of shamelessness) and ""असुरी प्रवृत्ती"" (demonic tendency) strongly indicate disgust."
"गद्दारी करुन, आपले टँक्स पैसे भष्टाचारी लोकांच्या हातात दिल्यामुळे लोकखत नि पुरस्कार दिला",-1,Disgust,"After betraying, tax money was given to corrupt people, leading to awards.","The words ""गद्दारी"" (betrayal) and ""भष्टाचारी"" (corrupt people) show disgust."
समर्थकांनी पक्षातील चुका दाखवणं हा त्यांच्यामते गुन्हा समजला जातो....,-1,Disgust,Pointing out mistakes in the party is considered a crime by them.,"The phrase ""गुन्हा समजला जातो"" (considered a crime) expresses disapproval."
फैजाबाद ही निर्लज्ज पणाचा कळस आहे... असुरी प्रवृत्ती आहे ती,-1,Disgust,Faizabad is the epitome of shameless greed... it is demonic in nature.,"Strong negative language like ""shameless"" and ""demonic"" conveys disgust."
गद्दारीची ढाल तलवार अनाजी पंत कडे पण होती..,0,Neutral,Anaji Pant also had the shield and sword of betrayal.,The sentence presents a historical reference without strong emotional expression.
"म्हणजे आम्ही रिकामेच आहोत तुमच्यासारखे, मोक्कार पैसा कमवायचा तुम्ही आणि काम करायचं आम्ही वा.......",0,Neutral,"So we are just like you, you have to earn money and we have to work...","While the statement expresses frustration, it does not convey strong enough emotion to classify as anger or sadness."
पोलीस स्मृती दिन निमित्त देशासाठी कर्तव्य बजावत असताना शहीद झालेल्या हुतात्म्यांना भावपूर्ण श्रद्धांजली !!,-1,Sadness,Emotional tribute to the martyrs who died while performing their duty for the country on the occasion of Police Memorial Day!!,"The phrase ""भावपूर्ण श्रद्धांजली"" (heartfelt tribute) expresses sorrow and mourning."
तु कोणत्या क्रिकेट प्रकारात प्लेअर होता?????????????????? उपाध्यक्ष होण्याची तुझी लायकी काय???????,-1,Surprise,What type of cricket were you a player in??????????????????? What are your qualifications to be the vice president???????,The excessive punctuation and questioning indicate a tone of shock and disbelief.
"“सहानुभूती, डोळ्यात पाणी,” राज ठाकरेंची उद्धव ठाकरेंवर जोरदार टीका; म्हणाले “कोणतीही लाट…”",-1,Disgust,"""Sympathy, tears in the eyes,"" Raj Thackeray strongly criticizes Uddhav Thackeray; said ""Any wave...""","The phrase ""जोरदार टीका"" (strong criticism) and mocking tone suggest disgust."
"पक्षाने तिकीट कापलेले तुम्ही, का उगाच हसं करुन घेताय.",-1,Surprise,Why are you laughing so hard at the party ticket you've been given?,The rhetorical question implies surprise or disbelief.
यांना विचारांपेक्षा सत्ता जास्त महत्वाची आहे.,0,Neutral,Power is more important to them than ideas.,This is a political opinion without emotional exaggeration.
म्हणजे बीजेपी कीड आहे,0,Neutral,That means BJP is a pest.,"Though it contains a negative word (""कीड"" - pest), it lacks strong emotional depth."
जर काँग्रेस वाले एवढेच भ्रष्टाचारी आहे तर तुम्ही का त्यांना भाजप मध्ये घेता?,-1,Disgust,"If Congress people are so corrupt, why do you accept them in BJP?","The word ""भ्रष्टाचारी"" (corrupt) conveys disgust towards political behavior."
समर्थकांनी पक्षातील चुका दाखवणं हा त्यांच्यामते गुन्हा समजला जातो....,-1,Disgust,They consider it a crime for supporters to point out mistakes in the party....,Criticism of party intolerance suggests frustration and disgust.
"तुम्ही नेते आहात यात शंकाच आहे, एवढी बालबुद्धी तर लहान मुलांना पण नसते",0,Neutral,"There is no doubt that you are a leader, even small children do not have such childish intelligence.","Though mildly insulting, it lacks strong emotional charge."
कायमस्वरूपी बंदी का नाही केली.? कुठली सेटिंग झाली आहे??,-1,Surprise,Why not ban it permanently? What setting has been made??,The questioning and tone suggest curiosity and surprise.
हा गद्दार अजुन आपल्या सारखे गद्दार शोधतच फिरतो आहे वाटत ....,-1,Anger,It seems this traitor is still looking for traitors like us...,"The term ""गद्दार"" (traitor) repeatedly indicates anger."
हा माणूस खूप मोठा गैरसमज समाज्यात पसरवत आहे. याच्या ज्ञानात भर टाका.,-1,Disgust,This man is spreading a huge misunderstanding in the society. Please increase his knowledge.,The accusation of misinformation conveys disgust.
तुला शिवसैनिकांनी चांगल हाणला होतो त्यामुळे तू बोलतोयस,0,Neutral,"You were beaten up by Shiv Sainiks, that's why you're talking.","Though it refers to violence, it is presented as a factual statement."
घाणेरड्या विचारांचे / आहेत हे वडापाव सैनिक,-1,Disgust,These Vadapav soldiers are of dirty thoughts.,"""घाणेरड्या विचारांचे"" (dirty thoughts) conveys contempt."
त्रास भोगल्याशिवाय अक्कल येत नाही...! अर्ध्या तासाच्या पावसामुळं होणारी तारांबळ खूप गरजेची आहे,0,Neutral,Wisdom cannot be gained without suffering...! The relief that comes from half an hour of rain is very necessary.,The sentence conveys a general observation rather than strong emotion.
"ह्यांच्यात कसला आला राष्ट्रवाद, हे तर भ्रष्टवादी",-1,Disgust,"What kind of nationalism has come into these people, they are corrupt.","The phrase ""भ्रष्टवादी"" (corrupt) conveys strong disapproval."
"असे प्रश्न विचारू नका सर, ते वेडे पुन्हा काही वेडसरपणा करतील हो.",-1,Anger,"Don't ask such questions, sir, those madmen will do something crazy again.","The word ""वेडसरपणा"" (madness) and the warning suggest anger."
दोन्ही राज्यांत भाजपच्या मुख्यमंत्री आहेत म्हणजे हे सगळे सोंग ठरवुन केलेली आहे असे समजावे,0,Neutral,"There are BJP Chief Ministers in both the states, so it should be understood that all this is a pretext.",The statement presents an observation rather than emotion.
"भारतात राहून पाकिस्तान जिंदाबादच्या घोषणा देणे हे निषेधार्यच आहे, अशा लोकांना कठोरात कठोर शिक्षा झाली पाहिजे...",-1,Anger,"Raising slogans of 'Pakistan Zindabad' while living in India is unacceptable, such people should be punished severely...",The demand for strict punishment conveys anger.
मशाल हे गद्दारसाठी आहे,-1,Anger,The torch is for the traitor.,"The term ""गद्दार"" (traitor) and the implied punishment suggest anger."
मोदीभक्त यांचे नाव घ्यायला परवानगी नाही दिली वाटत साहेबांनी,0,Neutral,I don't think the hon. has given permission to take the name of a Modi devotee.,This is a neutral political statement.
सरकारला खाजगीकरण करायचे आहे.. ज्यामुळे गरिबी आणखी वाढेल..,-1,Sadness,The government wants to privatize... which will further increase poverty.,"Expresses concern over economic issues, leading to sadness."
तेथील काम आपण केलेले नाहीत कधी कराल?,0,Neutral,"If you haven't done the work there, when will you?",A straightforward question without strong emotional intensity.
उद्धटरावांनी आता मशालीनेच स्वतःच्या वडिलांचा पक्ष जाळायला काढला आहे.,-1,Anger,Uddhatrao has now used the torch to burn his own father's party.,The imagery of burning one's father's party expresses strong anger.
मुख्यमंत्री मराठी बोलायचं सोडून सातत्याने हिंदी का बोलत आहात? उत्तर द्यावे!,-1,Surprise,Why is the Chief Minister constantly speaking Hindi instead of Marathi? Answer me!,The questioning tone conveys shock and disbelief.
"खूपच...!!! अगदी पिसाळल्या सारखे पूर्ण वातावरण दूषित करतात, कसलाच एकोपा राहिला नाही..!!!",-1,Anger,"Very much...!!! They pollute the entire atmosphere like a mad dog, there is no harmony left..!!!","The phrase ""पूर्ण वातावरण दूषित करतात"" (pollute the entire atmosphere) suggests frustration and anger."
बुर्जी पटेल ला उमेदवारी दिली ..तेव्हा तू कोणत्या बिळात लपली होती ग...झिपरे,-1,Surprise,Burji Patel was nominated..then in which hole were you hiding...zipare,"The phrase ""कोणत्या बिळात लपली"" (which hole were you hiding in) conveys disbelief and surprise."
काही शेण किड्यांना असा राहूल गांधी फोटो बघितला की जाळ होतो......,-1,Disgust,Some dung beetles get excited when they see a photo of Rahul Gandhi like this...,"""शेण किडे"" (dung beetles) is a derogatory term, expressing disgust."
माय दिवाळी फराळ चाखुन कंटाळा आला सुद्धा,-1,Disgust,I'm tired of tasting my Diwali snacks.,"Expresses dislike and weariness toward food, showing disgust."
हिंदू पोरींना हिंदू मुलगे मिळत नाहीत का? भिकार करीना कपूर बघ,-1,Disgust,Don't Hindu girls get Hindu boys? Look at the beggar Kareena Kapoor.,"The use of ""भिकार"" (beggar) and judgmental tone convey disgust."
"मला कधी कधी वाटतं ते आपल्याला ""माणसं कुठली"" म्हणून हिणवत असतील.",0,Neutral,"Sometimes I think they might be belittling us as ""people of some kind.""",Reflects contemplation but lacks strong emotional intensity.
महाराष्ट्र मधील शेतकरी जातोय भिक मागत आणि ह्याची दिल्ली वारी सतत सतत,-1,Sadness,Farmers in Maharashtra are begging while they continue their Delhi visits.,"Describes economic struggles, evoking sadness."
या मार खायला सोबतीने,0,Neutral,Come and get beaten up.,"Lacks strong emotion, though slightly aggressive."
गद्दरांना त्यात पण पोट दुःखी होत आहे का?,-1,Disgust,Are traitors also getting sick of it?,"The term ""गद्दर"" (traitor) conveys contempt."
ह्याचे पूर्वजांनी हाताच्या पंजाचा वापर करून झोपले असते तर ही वेळ आली नसती,-1,Disgust,"If his ancestors had slept using their hands, this time wouldn't have come.","Implies offensive critique of ancestry, expressing disgust."
सुप्रीम कोर्टाने काल च्या निर्णयात पण कठोर भुमिका घ्यायला पाहिजे होती....,0,Neutral,The Supreme Court should have taken a tough stance in yesterday's decision.,A general opinion without strong emotional intensity.
चायबांची गुलामी करणारे सुद्धा लाळचाटे असतात हे काय नवीन नाही..,-1,Disgust,Isn't it new that even those who enslave tea are slobs?,"""लाळचाटे"" (sycophants) is derogatory, expressing disgust."
राष्ट्रवादी आणि काँग्रेसने हातात धरलेलं 'मशाल' जनता स्वीकार करणार नाही!,-1,Anger,The public will not accept the 'torch' held by the NCP and Congress!,The assertion of public rejection conveys anger.
क्रांतीच्या वल्गना केल्या पण आता भीतीपोटी वांत्या सुरू झाल्या अलिबाबा आणि चाळीस चोरांना..,-1,Disgust,"They praised the revolution, but now they are starting to vomit out of fear.. Alibaba and the Forty Thieves.","""भीतीपोटी वांत्या"" (vomiting out of fear) indicates disdain and disgust."
हे विरोधक म्हणजे एकमेकांचे पाय खेचणारे खेकडे आहेत,0,Neutral,These opponents are crabs pulling each other's legs.,A metaphor without strong emotional intensity.
तुम्हीच राहिले होते आता फेकाची गोष्टी सांगायचं,-1,Anger,"You were the only one left, now telling nonsense.",Accusatory tone conveys frustration and anger.
मोदीजींचे हे पूर्णपणे चुकीचे आहे. मनीष सिसोदिया यांना अटक,-1,Disgust,This is completely wrong of Modiji. Manish Sisodia arrested.,"""पूर्णपणे चुकीचे"" (completely wrong) conveys disapproval and disgust."
हा पॅटर्न अंध भक्त होण्यासाठी अनिवार्य आहे,0,Neutral,This pattern is mandatory to become a blind devotee.,"A sarcastic remark, but not strongly emotional."
निर्लज्ज सदा सुखी! आपल्या बंगल्याच नामकरण केले काय! बाबासाहेबांची मातोश्री!,-1,anger,"Shameless, always happy! Did you name your bungalow! Babasaheb's mother!","The word ""निर्लज्ज"" (shameless) conveys anger and criticism, indicating a strong negative sentiment."
आणि शिवसैनिक की भाषा मे महाराष्ट्र द्रोही मोहीत कंपोष्ट महा चुटीया है..,0,neutral,"And in the language of Shiv Sainiks, Maharashtra is a country full of traitors, a country full of corruption.","Although the sentence uses strong words like ""traitor,"" it appears more like a general statement rather than an emotional outburst."
पूर्वी पाऊस पडावा म्हणून बेडकांची लग्न लावली जायची. आता त्याचा घटस्फोट घेयची वेळ आली आहे,0,neutral,"In the past, frogs were married to make it rain. Now it's time to divorce them.",The sentence is metaphorical and does not express any strong emotions.
"किती भडकातोस रे, मागील दरवाजा ही तर शाखा वाल्यांची खासियत...",-1,disgust,"How arrogant you are, the back door is the specialty of the branch people...","Use of ""भडकातोस"" (arrogant) and reference to a ""back door"" implies disgust and criticism."
देशाचा गृहमंत्री एक आरोपी असताना देशाचे अजून काय हाल होणार भामट्या...,-1,disgust,"What else will happen to the country when the Home Minister of the country is an accused, you idiot...","The phrase ""भामट्या"" (idiot) and accusing the Home Minister indicates strong disgust."
हा म्हणजे तरंगणारी विष्ठा य,-1,disgust,This is floating feces.,"Comparing someone to ""floating feces"" is highly derogatory, expressing disgust."
नवीन संडासाचे उद्घाटन सोडून तुम्ही काय केलं आहे का मतदार संघात???,0,neutral,"Apart from inaugurating a new toilet, what have you done in the constituency???","The sentence questions actions but does not express strong emotion, making it neutral."
कांड केलंय म्हणून ब्लॉकची सजा का नाही केलंय त्याची सजा? बेंचो,0,neutral,Why wasn't the block punished for committing the crime? Bencho,"The word ""बेंचो"" is informal, but the sentence lacks strong emotional intensity."
तुमच्या सारख्या गद्दारांना ढाल-तलवार नाही...तर खंजीर शोभुन दीसेल....,0,neutral,Traitors like you don't have a shield or sword...but a dagger will show off...,"The sentence contains the word ""गद्दार"" (traitor), but its overall tone is more factual than emotional."
अशा मवाळ भाषेने असे नाठाळ सुधारणार नाहीत. यांना जोड्याची भाषा,0,neutral,Such soft language will not improve such a fool. The language of the couple,The phrase suggests punishment but is not heavily emotional.
छान संस्कार केलेत....बघा मतदारांनो अशा लोकांना निवडून आपण देणार का,1,joy,"You have done a great job....look, voters, will you elect such people?",The sarcastic praise implies irony but is not strongly emotional.
कोकणासह राज्यात ओला दुष्काळ जाहीर होणार अत्यंत गरजेचं आहे.,0,neutral,"It is extremely important that a wet drought be declared in the state, including Konkan.",A factual statement without emotional charge.
बघा तुमच्या नशिबी हे काही नाही.... दुसऱ्याची नाव लावायला लागतात...,-1,anger,"Look, this has nothing to do with your destiny.... They start naming others...","The phrase implies resentment, making it an angry statement."
मुरजी पटेल चा फॉर्म भरायला कोंबडी चोराचं कार्ट गेलं तिथंच पनवती लागली होती,0,neutral,The chicken thief's cart had started to rustle right where Murji Patel's form was filled.,The sentence has some negative connotations but does not strongly convey an emotion.
कोण तुम्ही कुणीही ओळखत नाही तुम्हाला मग का पुढे पुढे करायचं,0,neutral,"No one knows who you are, so why should you continue?",A simple question without emotional intensity.
"ट्विटर नाही अपमान सोडा , आणि आपल्याकडे बटन आहेच की...",-1,anger,"No Twitter, stop insulting, and we have a button...","The phrase ""अपमान सोडा"" (stop insulting) implies frustration and anger."
तू पेंग्विन ची खाजवून चोखतो का,0,neutral,Do you scratch and suck penguins?,The sentence is crude but lacks strong emotional context.
असे कोण आहे रे तिकडे? च्यायला.. माझीच शेपटी होती व्हय,-1,surprise,Who is that there? Oh my.. I had a tail.,"The expression ""च्यायला"" and the surprise in the sentence indicate shock or surprise."
जनावरं ही त्रस्त आहेत रामराज्यात.,-1,sadness,Animals are suffering in the kingdom of Ram.,"The phrase expresses suffering, indicating sadness."
पण असं कुणी परीक्षा आली की पळ काढत का?,0,neutral,But does anyone run away when the exam comes?,The question is rhetorical and does not express strong emotion.
"भंगारा,पहाटेचे शपथविधी चालते का?",0,neutral,"Bhangara, is the swearing-in ceremony going on in the morning?",A simple question without emotional intensity.
मग पंढरपूर नांदेड कोल्हापूर इथ काय झालं होत कपटी भाजप,-1,surprise,"Then what happened in Pandharpur, Nanded, Kolhapur, the hypocritical BJP?","The phrase ""कपटी भाजप"" (hypocritical BJP) suggests some negativity, but the main tone is curiosity or surprise."
आय शेमण्या काही कुठला संदर्भ आहे का..की नुसताच उपटत बसलास च्या धक्क्यामुळे..?,0,neutral,Is there any reference to I Shemanya...or is it just because of the shock of being uprooted...?,The sentence questions a reference but lacks any strong emotional expression.
"अच्छा म्हणजे मुरलीन काम केलेली नाही अस नाही , त्याने पैसे खाल्लेत असय",0,neutral,"Well, it's not that Murlin hasn't done any work, he's just been eating money.",The sentence hints at corruption but does not display a strong emotional tone.
रात्री भेटणाऱ्या एकनाथला विचार फडणवीस ला का भेटत होता वेषांतर करून तो सांगेल,0,neutral,"Eknath, who met him at night, wondered why he was meeting Fadnavis. He would disguise himself and tell him.",The statement presents curiosity but does not convey strong emotion.
हे असल्या छपरी लोकांची कसली पत्रकार परिषद घेता.. लायकी आहे का याची.,0,neutral,What kind of press conference do these kind of people hold? Is it worth it?,"The phrase ""छपरी लोक"" (cheap people) shows mild disapproval but not strong emotion."
स्वपक्षा बद्दल बोलतांना काहीच वाटत नाही का मालक बोंबलणार ना....,-1,surprise,Doesn't it feel like the owner will be shocked when he talks about his own party?,"The phrase suggests an unexpected reaction, aligning with surprise."
ही दळभद्री फक्त हिंदू धर्मावरच बोलणार इतर धर्मावर बोलायला वीतभर नाही हातभर फाटती,0,neutral,"This Dalbhadri will only talk about Hinduism, she doesn't even have the guts to talk about other religions, she's just a handful.","Though the statement criticizes, it does not have a strong emotional charge."
तुझ्या सारखे म्हणजे शंबर टक्के शेजाऱ्याला पप्पा म्हणणारे तुम्हीं.,0,neutral,"Like you, you are the one who calls your neighbor papa.",The sentence is sarcastic but does not express a specific emotion.
अवघड आहे ही,0,neutral,This is difficult.,A factual statement without emotional weight.
बास करा ही नाटकं किती दिवस धर्माच्या नावावर राजकारण करून लोकांना मूर्ख बनवणार,-1,anger,"Stop this drama, how long will you fool people by playing politics in the name of religion?","The phrase ""नाटकं"" (drama) and ""मूर्ख बनवणार"" (fooling people) convey frustration and anger."
सत्ते मधे कशा साठी बसले तुम्ही हे आधी सांगा जनतेला,0,neutral,First tell the people why you came to power.,A question without a strong emotional tone.
“अंधारात गाडी उभी केली आणि…” या अभिनेत्रीला आला प्रवासात धक्कादायक अनुभव,-1,fear,"""Parked the car in the dark and..."" This actress had a shocking experience while traveling.","The phrase ""धक्कादायक अनुभव"" (shocking experience) indicates fear or anxiety."
टीव्हीचॅनल तर वेगळेच दाखवत होते..... किती खोट बोलणार...( टीव्हीचॅनल वाले नाही ) ?,0,neutral,The TV channel was showing it differently..... How many lies will they tell...(not the TV channel)?,Expresses doubt but does not strongly convey emotion.
"भाजपाला टार्गेट करत, नेटकऱ्यांनी बाळासाहेबांच्या नावावरून शिंदे गटाला केले ट्रोल –",0,neutral,"Targeting BJP, netizens trolled Shinde group in Balasaheb's name –",A factual statement without emotional intensity.
मा.सत्यजित कदम ह्यांना उमेदवारी देऊन त्यांना कायमचे घरी बसावलत...हे कितपत योग्य आहे ओ साहेब....,0,neutral,"Giving nomination to Hon. Satyajit Kadam and making him stay at home forever...how right is this, sir...?",The question is rhetorical but does not express a strong emotion.
"भाजपाईं हरामख़ोर काही ही करूँ शकतात, पाताळयंत्री",0,neutral,"The BJP bastards can do this, Patalyantri.","The use of ""हरामखोर"" (scoundrels) is strong language, but overall sentiment remains neutral."
हा पण बुडते ती निष्ठा तरंगते ती विष्ठा,0,neutral,"This too sinks, that loyalty floats, that excrement floats.",A metaphorical phrase but does not convey a clear emotion.
तुरुंगातल्या शौचालयात गैरसोय झालेल्या आपल्या पार्श्वभागावर,0,neutral,"On your back, which is inconvenient in the prison toilet.",Crude language but lacks strong emotion.
अख्खी लोकशाही ची धुरा एका माणसावर अवलंबून असावी हीच शोकांतिका आहे,-1,sadness,It is a tragedy that the entire axis of democracy should depend on one man.,"The word ""शोकांतिका"" (tragedy) conveys sadness."
"भंगार आहे हा भंगार ,महाराष्ट्र ला लागलेली ही एक मोठी किड आहेत.",-1,disgust,"This is junk, this is junk, this is a big pest that has infected Maharashtra.","The phrase ""मोठी किड"" (big pest) indicates disgust."
: लागवड घटल्याने यंदा कांद्याचे होणार वांधे !,0,neutral,: There will be a shortage of onions this year due to reduced planting!,A factual statement without emotional intensity.
या भुंकणाऱ्या कुत्र्याला पैसे भेटलेत म्हणून भुंकतोय,0,neutral,This barking dog is barking because he got money.,"The phrase ""भुंकणाऱ्या कुत्र्याला"" (barking dog) is derogatory but does not strongly express emotion."
आता जास्त बोलू नको..व्हिडिओ पाठव..तू बोलतोस जास्त..काम कमी.. चल कामाला लाग रे.,-1,anger,Don't talk too much now..send a video..you talk too much..work too little..let's get to work.,"The phrase ""जास्त बोलू नको"" (don't talk too much) suggests frustration, indicating anger."
स्वर्गात दारू मिळत नसेल तर तिथे जाणे व्यर्थ आहे.,0,Neutral,"If there is no alcohol in heaven, it is pointless to go there.",The statement is neutral as it humorously expresses an opinion without strong emotions.
तुझ्या बापाची कुळं जरी आरी तरी तुझं कुत्रीस्वप्न सत्यात येणार नाही...,0,Neutral,"Even if your father's family survives, your dream won't come true...","While it dismisses someone's ambition, it does not convey a strong emotional charge."
हा पत्रकार नेमका दसरा दिवाळीला च जागा होतो !!,-1,Anger,"This journalist wakes up exactly on Dussehra, Diwali!!",The use of sarcasm and frustration towards the journalist indicates anger.
हे तुमच्या सारख्यांचा सर्वे करुन नंबर असतील %,0,Neutral,These will be the numbers from a survey of people like you.,The statement is dismissive but lacks emotional intensity.
श्रमाला किंमत नाही. आणि अशा व्यक्तीने खिल्ली उडवावी जी स्वतः परिचारिका होती,-1,Disgust,Labor has no price. And to be ridiculed by someone who was a nurse herself,"Expresses resentment towards someone’s attitude, conveying disgust."
सुप्रीम कोर्टाने दिवसभर वेळ खाण्याची काहीही गरज न्हवती. सकाळीच निकाल देऊन मोकळं व्हायचं होत.,0,Neutral,There was no need for the Supreme Court to waste time all day. It wanted to give its verdict in the morning and be free.,The statement critiques a process but does not strongly express emotion.
"अन् हा भाऊ या जन्मातच फुटला घरातुन ,किती कच्चा म्हणायचा!",-1,Disgust,"And this brother broke away from home in this very birth, how crude he was!","The phrase ""किती कच्चा"" suggests disdain, indicating disgust."
कोण तरी चोम्या सांगतो म्हणून ऐक नारी आंधळी भक्त भ्रस्टाचारी जनता पार्टी,-1,Disgust,"If someone tells you something, listen to the woman, the blind devotee, the corrupt Janata Party.",The use of derogatory words and political criticism indicates disgust.
हे देशद्रोही आहे. —एक अंधभक्त,-1,Disgust,This is a traitor. —A blind devotee,Labeling someone a traitor in a derogatory manner suggests disgust.
महाराष्ट्रीयन ऑफ द इयर आहे की बिहारीयन ऑफ द इयर,0,Neutral,Maharashtrian of the Year or Bihari of the Year?,The statement raises a question but does not strongly express any emotion.
पोलिसांना बघून पळून कोण गेला होता,-1,Surprise,Who ran away after seeing the police?,"Expresses curiosity or shock, indicating surprise."
